Provider Number,State,Clinical Process of Care Score, Patient Experience of Care Score,Outcome Score,Efficiency Score,TPS
50262,CA,62.85714286,52,48.57142857,10,41.21428571
50272,CA,31.42857143,49,27.14285714,30,33.75
50276,CA,50,12,30,60,35
50278,CA,68.57142857,23,60,20,41.60714286
50279,CA,62.85714286,17,50,100,55.53571429
50280,CA,30,18,24.28571429,0,17.21428571
50281,CA,58.57142857,36,87.14285714,0,49.71428571
50283,CA,64.28571429,38,81.42857143,20,53.5
50289,CA,58.57142857,43,68.57142857,0,44.03571429
50290,CA,70,19,54.28571429,20,38.46428571
50291,CA,52.85714286,9,44.28571429,10,27.75
50292,CA,60,5,53.33333333,30,36.08333333
50295,CA,78.57142857,14,60,0,35.35714286
50296,CA,35.71428571,23,60,80,53.32142857
50298,CA,74.28571429,28,40,30,37.92857143
50300,CA,11.42857143,20,40,10,24.64285714
50301,CA,57.14285714,11,62.5,60,48.46428571
50305,CA,48.57142857,6,32.85714286,0,19.5
50308,CA,77.14285714,35,78.57142857,10,50.39285714
50309,CA,44.28571429,35,64.28571429,20,43.89285714
50313,CA,88.57142857,47,43.33333333,20,42.94047619
50315,CA,34,4,27.5,0,15.4
50320,CA,61.42857143,5,18.33333333,0,14.72619048
50324,CA,60,46,42.85714286,20,39.64285714
50327,CA,40,19,37.14285714,10,26.10714286
50329,CA,58.57142857,7,56.66666667,0,30.27380952
50334,CA,80,31,47.14285714,0,34.60714286
50335,CA,64.28571429,25,40,90,51.17857143
50336,CA,67.14285714,13,20,40,27.96428571
50342,CA,75.71428571,21,33.33333333,40,36.1547619
50348,CA,55.71428571,36,48.57142857,0,34
50350,CA,31.42857143,18,71.42857143,0,36.21428571
50351,CA,54.28571429,26,44.28571429,40,39.64285714
50352,CA,51.42857143,42,33.33333333,100,53.97619048
50353,CA,61.42857143,21,55.71428571,20,38.67857143
50357,CA,52.85714286,71,80,10,57.53571429
50359,CA,40,11,40,40,32.75
50360,CA,58.57142857,10,30,0,20.35714286
50367,CA,47.14285714,31,27.14285714,10,25.82142857
50373,CA,67.14285714,12,52,40,40.51428571
50376,CA,0,2,41.66666667,40,27.16666667
50380,CA,88.57142857,20,20,10,24.35714286
50382,CA,61.42857143,20,61.42857143,0,35.71428571
50390,CA,15.71428571,6,62.85714286,0,28.21428571
50393,CA,72.85714286,14,57.14285714,0,33.64285714
50394,CA,27.14285714,13,67.14285714,10,35.32142857
50396,CA,54.28571429,49,68.57142857,10,47.60714286
50407,CA,35.71428571,32,55,70,51.07142857
50411,CA,67.14285714,29,67.5,100,65.96428571
50414,CA,74.28571429,16,40,60,42.42857143
50417,CA,58.57142857,32,62.5,100,63.85714286
50423,CA,28.33333333,34,40,10,29.83333333
50424,CA,75.71428571,55,44.28571429,50,51.53571429
50425,CA,60,26,32.5,100,50.5
50426,CA,100,13,77.14285714,0,44.10714286
50434,CA,,37,43.33333333,70,48.98148148
50438,CA,27.14285714,34,60,10,37.71428571
50441,CA,61.42857143,37,42.85714286,0,32.53571429
50454,CA,32.85714286,39,52.85714286,0,34.17857143
50455,CA,44.28571429,16,35.71428571,0,22.71428571
50457,CA,70,32,57.14285714,30,45.35714286
50464,CA,71.42857143,14,55.71428571,10,35.42857143
50468,CA,65,8,68.33333333,0,35.83333333
50471,CA,75.71428571,31,40,10,33.82142857
50481,CA,64.28571429,17,55.71428571,20,37.96428571
50485,CA,82.85714286,24,34.28571429,10,30.5
50488,CA,88.57142857,36,31.42857143,0,30.42857143
50492,CA,47.14285714,46,42.85714286,0,33.35714286
50496,CA,31.42857143,40,51.42857143,10,36.21428571
50502,CA,44.28571429,28,75.71428571,0,41.71428571
50503,CA,72.85714286,24,34.28571429,30,34.5
50506,CA,62.85714286,30,61.66666667,0,38.45238095
50510,CA,67.14285714,37,62.5,50,53.46428571
50512,CA,61.42857143,22,25,70,39.14285714
50515,CA,80,24,30,100,51
50516,CA,58.57142857,18,48.57142857,30,37.28571429
50517,CA,55.71428571,0,73.33333333,0,34.9047619
50523,CA,54.28571429,24,52.85714286,30,40.07142857
50526,CA,,15,58.33333333,0,30.09259259
50528,CA,,26,53.33333333,40,42.03703704
50534,CA,41.42857143,31,34.28571429,10,28.10714286
50537,CA,90,64,33.33333333,50,50.83333333
50541,CA,70,37,10,100,45.25
50549,CA,84.28571429,19,61.42857143,0,37.75
50551,CA,78.57142857,10,57.14285714,0,33.21428571
50557,CA,82.85714286,41,28.57142857,30,37.46428571
50561,CA,84.28571429,23,52.5,90,57.67857143
50567,CA,41.42857143,24,31.42857143,20,27.71428571
50568,CA,37.14285714,16,36.66666667,0,22.38095238
50570,CA,58.57142857,20,58.57142857,10,36.78571429
50573,CA,58.57142857,21,47.14285714,30,37.46428571
50575,CA,18.57142857,8,78,0,35.05714286
50580,CA,85.71428571,15,78,0,43.52142857
50581,CA,42.85714286,10,68.57142857,0,34.21428571
50586,CA,97.14285714,20,58,60,52.91428571
50588,CA,54.28571429,14,85,0,42.92857143
50589,CA,90,56,52,0,43.8
50590,CA,80,34,62.85714286,60,56.64285714
50597,CA,62.85714286,18,58.33333333,10,36.61904762
50599,CA,27.14285714,25,51.42857143,30,37.03571429
50603,CA,40,21,45.71428571,20,32.53571429
50604,CA,92.85714286,21,22.5,100,48.53571429
50608,CA,40,16,46.66666667,40,36.66666667
50609,CA,71.42857143,55,50,90,63.39285714
50616,CA,34.28571429,19,78.57142857,0,39.60714286
50624,CA,52.85714286,29,74.28571429,20,47.25
50625,CA,38.57142857,28,54.28571429,0,32.57142857
50633,CA,72.85714286,24,38.33333333,20,33.61904762
50636,CA,80,17,63.33333333,30,45.08333333
50641,CA,16,32,35,0,23.6
50663,CA,28.57142857,1,83.33333333,0,36.44047619
50674,CA,70,33,44,100,57.85
50677,CA,74.28571429,41,35,100,56.67857143
50678,CA,34.28571429,38,57.14285714,10,38.28571429
50684,CA,28.57142857,13,85,0,40.10714286
50686,CA,87.14285714,24,77.5,100,70.71428571
50688,CA,61.42857143,28,60,20,42.14285714
50689,CA,67.14285714,34,42.85714286,20,37.35714286
50690,CA,54.28571429,44,35,80,50.42857143
50696,CA,41.66666667,32,12,20,21.96666667
50697,CA,90,100,,100,98.33333333
50701,CA,35.71428571,13,65.71428571,0,33.10714286
50704,CA,81.42857143,13,78,0,42.59285714
50708,CA,53.33333333,95,,70,77.63888889
50709,CA,75.71428571,14,68.33333333,60,53.4047619
50710,CA,67.14285714,46,75,100,73.21428571
50714,CA,68.33333333,82,85,60,76.33333333
50717,CA,41.42857143,36,66.66666667,10,42.30952381
50723,CA,68.57142857,44,40,100,58.85714286
50724,CA,8.571428571,35,32.85714286,30,30.25
50726,CA,63.33333333,96,,40,67.22222222
50727,CA,38.33333333,6,33.33333333,0,18.66666667
50732,CA,53.33333333,70,36,20,42.23333333
50735,CA,45.71428571,24,70,0,38.57142857
50736,CA,72.85714286,41,40,50,46.03571429
50737,CA,80,8,82.85714286,0,43.14285714
50738,CA,65,27,100,0,53.25
50739,CA,100,17,75.71428571,0,44.53571429
50740,CA,45.71428571,32,78.57142857,0,44
50742,CA,52.85714286,12,66.66666667,10,37.45238095
50744,CA,74.28571429,10,23.33333333,0,19.26190476
50745,CA,48.57142857,30,50,0,32.35714286
50746,CA,42.85714286,13,35.71428571,0,21.82142857
50747,CA,32.85714286,15,70,0,35.03571429
50748,CA,55.71428571,28,20,50,33.07142857
50755,CA,91.42857143,9,100,0,51.39285714
50757,CA,27.14285714,12,76.66666667,0,36.38095238
50758,CA,76,24,33.33333333,0,26.93333333
50760,CA,55.71428571,27,22.5,60,36.32142857
50761,CA,42.85714286,7,54.28571429,0,27.75
50763,CA,100,4,80,0,43
50764,CA,62.85714286,11,31.42857143,50,34.10714286
50765,CA,91.42857143,29,80,100,73.39285714
50766,CA,83.33333333,98,,10,58.88888889
50767,CA,61.42857143,33,20,100,47.39285714
50769,CA,96.66666667,92,,20,62.77777778
50770,CA,48.57142857,28,45.71428571,10,32.64285714
50772,CA,92.85714286,32,52.5,100,63.28571429
50773,CA,17.14285714,9,35,10,20.46428571
50775,CA,65.71428571,22,80,20,49.07142857
50776,CA,60,6,45,0,25.5
60001,CO,51.42857143,48,52.85714286,0,38.28571429
60003,CO,47.14285714,39,77.14285714,0,45.32142857
60004,CO,85.71428571,47,48,20,44.52142857
60006,CO,20,55,38,30,38.45
60008,CO,21.42857143,18,56.66666667,20,34.30952381
60009,CO,60,35,52.85714286,30,43.39285714
60010,CO,22.85714286,43,51.42857143,30,41.10714286
60011,CO,60,15,20,30,25.25
60012,CO,80,29,38.57142857,10,33.17857143
60013,CO,57.14285714,54,75.71428571,30,57
60014,CO,48.57142857,41,41.42857143,0,31.67857143
60015,CO,72.85714286,32,60,0,39.28571429
60016,CO,60,31,77.5,50,57.25
60020,CO,48.57142857,32,61.42857143,20,42.42857143
60022,CO,48.57142857,16,27.14285714,0,19.71428571
60023,CO,50,43,34.28571429,0,29.46428571
60024,CO,81.42857143,39,42.85714286,20,40.03571429
60027,CO,47.14285714,33,47.14285714,10,34.32142857
60028,CO,61.42857143,48,62.5,30,50.64285714
60030,CO,55.71428571,47,25.71428571,20,32.60714286
60031,CO,54.28571429,35,41.42857143,0,30.75
60032,CO,92.85714286,48,74.28571429,0,51
60034,CO,80,23,44.28571429,0,31.46428571
60036,CO,72.85714286,50,26.66666667,90,52.95238095
60044,CO,55.71428571,51,36.66666667,20,37.98809524
60049,CO,65.71428571,87,85,40,72.32142857
60054,CO,45.71428571,25,12,20,20.62142857
60064,CO,45.71428571,39,65.71428571,20,45.60714286
60065,CO,100,32,51.42857143,10,41.07142857
60071,CO,72.85714286,57,63.33333333,10,49.36904762
60075,CO,60,58,68,10,50.2
60076,CO,47.14285714,63,46.66666667,10,41.63095238
60096,CO,57.14285714,54,,20,40.35714286
60100,CO,85.71428571,26,51.42857143,0,35.64285714
60103,CO,82.85714286,62,95,20,66.78571429
60104,CO,42.85714286,25,40,10,29.03571429
60112,CO,88.57142857,32,54.28571429,10,41.07142857
60113,CO,54.28571429,31,54.28571429,0,34.89285714
60114,CO,32.85714286,34,58.57142857,0,35.21428571
60116,CO,75.71428571,29,31.42857143,20,32.39285714
60118,CO,75,66,,40,56.66666667
60119,CO,38.57142857,55,41.42857143,0,34.17857143
60124,CO,93.33333333,82,,60,74.72222222
60125,CO,38.57142857,52,,0,28.0952381
70002,CT,55.71428571,25,45.71428571,10,32.60714286
70003,CT,81.42857143,48,58,0,43.34285714
70004,CT,67.14285714,41,55,30,46.46428571
70005,CT,52.85714286,25,47.14285714,0,30.39285714
70006,CT,65.71428571,34,71.42857143,0,43.64285714
70007,CT,40,19,48.57142857,0,28.17857143
70008,CT,48.57142857,27,53.33333333,0,32.94047619
70010,CT,41.42857143,28,47.14285714,10,32.5
70011,CT,30,25,40,0,25.25
70012,CT,84.28571429,21,42,30,37.97857143
