Facility ID,State,Clinical Outcomes Score,Person and Community Engagement Score, Safety Score,Efficiency and Cost Reduction Score,TPS
320001,NM,20,31,24,0,18.75
320002,NM,34,20,24,50,32
320003,NM,13.33333333,25,,100,46.11111111
320004,NM,24,34,66.66666667,20,36.16666667
320005,NM,46,17,62,30,38.75
320006,NM,36,10,53.33333333,50,37.33333333
320009,NM,44,16,66,0,31.5
320011,NM,50,46,,60,52
320016,NM,25,40,90,0,38.75
320017,NM,15,13,24,20,18
320018,NM,26,14,50,0,22.5
320021,NM,44,21,10,20,23.75
320022,NM,42.5,32,0,20,23.625
320030,NM,52.5,58,,50,53.5
320033,NM,13.33333333,52,,100,55.11111111
320038,NM,33.33333333,12,,100,48.44444444
320061,NM,80,45,,100,75
320063,NM,7.5,15,,60,27.5
320065,NM,32.5,11,,0,14.5
320074,NM,22.5,19,,10,17.16666667
320085,NM,34,18,26,0,19.5
320086,NM,20,39,,0,19.66666667
320089,NM,22.5,53,52.5,30,39.5
330004,NY,45,8,36,0,22.25
330005,NY,42,18,10,20,22.5
330006,NY,27.5,9,40,0,19.125
330008,NY,0,44,,70,38
330009,NY,52.5,12,22,30,29.125
330011,NY,32,21,18,60,32.75
330013,NY,26,13,18,0,14.25
330014,NY,27.5,7,40,0,18.625
330019,NY,80,8,20,0,27
330023,NY,58,11,40,10,29.75
330024,NY,68,15,26,10,29.75
330027,NY,32.5,9,37.5,10,22.25
330028,NY,20,10,18,0,12
330030,NY,60,15,76.66666667,80,57.91666667
330033,NY,22.5,38,,30,30.16666667
330043,NY,58,17,40,0,28.75
330044,NY,26,13,36,0,18.75
330045,NY,86,27,64,0,44.25
330046,NY,76,15,32,0,30.75
330047,NY,52,37,2.5,20,27.875
330049,NY,68,52,90,10,55
330055,NY,72,18,56,0,36.5
330056,NY,52,8,64,0,31
330057,NY,62,15,28,30,33.75
330058,NY,30,28,7.5,40,26.375
330065,NY,22.5,22,57.5,50,38
330073,NY,48,15,15,10,22
330074,NY,66,17,60,60,50.75
330078,NY,50,18,54,20,35.5
330079,NY,22.5,71,0,30,30.875
330080,NY,23.33333333,7,36,50,29.08333333
330084,NY,32,21,,100,51
330085,NY,32,40,50,30,38
330086,NY,26.66666667,13,,0,13.22222222
330090,NY,44,19,40,0,25.75
330094,NY,40,15,37.5,0,23.125
330096,NY,27.5,26,,50,34.5
330101,NY,86,20,10,0,29
330102,NY,42,29,46,0,29.25
330103,NY,30,7,6,30,18.25
330104,NY,62,13,88,10,43.25
330106,NY,80,16,24,0,30
330107,NY,66,32,64,0,40.5
330111,NY,6.666666667,29,,0,11.88888889
330115,NY,16.66666667,68,50,80,53.66666667
330119,NY,78,11,28,0,29.25
330125,NY,66,11,26,30,33.25
330126,NY,80,18,16,0,28.5
330127,NY,30,6,14,0,12.5
330128,NY,35,12,30,0,19.25
330135,NY,37.5,40,,10,29.16666667
330136,NY,36,16,14,0,16.5
330140,NY,46,21,50,20,34.25
330141,NY,46,7,54,0,26.75
330151,NY,20,18,,80,39.33333333
330153,NY,36,14,26,20,24
330157,NY,48,16,46,40,37.5
330158,NY,42,12,52,0,26.5
330160,NY,54,15,16,0,21.25
330162,NY,44,41,48,40,43.25
330163,NY,7.5,9,33.33333333,10,14.95833333
330164,NY,64,21,12,60,39.25
330169,NY,56,18,62,0,34
330175,NY,76.66666667,28,80,70,63.66666667
330180,NY,14,37,36,50,34.25
330181,NY,50,32,50,10,35.5
330182,NY,96,62,40,0,49.5
330184,NY,56,12,10,0,19.5
330185,NY,60,35,26,0,30.25
330188,NY,46,19,73.33333333,10,37.08333333
330191,NY,26,38,48,20,33
330193,NY,20,12,54,0,21.5
330194,NY,80,10,14,0,26
330195,NY,72,12,34,0,29.5
330196,NY,62.5,30,24,0,29.125
330197,NY,64,21,25,90,50
330198,NY,56,12,32,0,25
330199,NY,,17,42.5,0,19.83333333
330201,NY,60,15,65,0,35
330203,NY,26,14,28,20,22
330204,NY,27.5,13,10,20,17.625
330205,NY,50,65,,0,38.33333333
330208,NY,62,16,70,0,37
330211,NY,24,21,33.33333333,30,27.08333333
330214,NY,94,24,36,10,41
330215,NY,47.5,27,,20,31.5
330218,NY,28,18,80,10,34
330219,NY,42.5,26,36,0,26.125
330221,NY,40,9,30,20,24.75
330222,NY,60,58,30,70,54.5
330223,NY,34,18,,100,50.66666667
330226,NY,30,21,22,50,30.75
330229,NY,22.5,17,,30,23.16666667
330231,NY,22.5,12,28,50,28.125
330233,NY,20,6,44,10,20
330234,NY,36,9,8,0,13.25
330235,NY,56,17,40,60,43.25
330236,NY,86,21,26,0,33.25
330238,NY,55,16,,80,50.33333333
330239,NY,34,30,28,10,25.5
330240,NY,6.666666667,11,35,0,13.16666667
330241,NY,36,28,24,0,22
330245,NY,32,14,12,0,14.5
330246,NY,64,20,50,0,33.5
330250,NY,62,16,26,10,28.5
330259,NY,40,16,72,10,34.5
330261,NY,56,34,48,0,34.5
330264,NY,22,20,82,0,31
330265,NY,40,35,,80,51.66666667
330267,NY,32,31,40,0,25.75
330270,NY,,77,57.5,50,61.5
330273,NY,48,32,52.5,0,33.125
330276,NY,42.5,20,,60,40.83333333
330277,NY,42,26,25,70,40.75
330279,NY,38,22,42,0,25.5
330285,NY,47.5,17,12,40,29.125
330286,NY,24,16,24,0,16
330304,NY,48,46,42,10,36.5
330307,NY,42,33,30,30,33.75
330331,NY,60,14,30,0,26
330332,NY,26,28,57.5,0,27.875
330350,NY,7.5,7,46,0,15.125
330385,NY,,8,20,80,36
330386,NY,37.5,28,10,30,26.375
330393,NY,88,16,12,0,29
330394,NY,30,25,28,30,28.25
330395,NY,12.5,11,45,0,17.125
330396,NY,30,24,20,10,21
330397,NY,50,13,77.5,0,35.125
330399,NY,12.5,7,46,0,16.375
330401,NY,88,19,46,10,40.75
340001,NC,46,20,20,10,24
340002,NC,44,14,20,0,19.5
340003,NC,38,35,20,60,38.25
340004,NC,42,14,16,10,20.5
340008,NC,48,31,95,50,56
340010,NC,38,25,26,40,32.25
340013,NC,22,11,7.5,20,15.125
340014,NC,28,32,32,10,25.5
340015,NC,24,28,60,20,33
340016,NC,40,28,66.66666667,0,33.66666667
340017,NC,34,37,26,30,31.75
340020,NC,30,14,40,30,28.5
340021,NC,38,30,22,30,30
340023,NC,52,70,30,50,50.5
340024,NC,47.5,20,15,60,35.625
340027,NC,15,51,48,40,38.5
340028,NC,22,17,20,10,17.25
340030,NC,12,49,10,20,22.75
340032,NC,38,13,74,30,38.75
